,City,Country,Lat,Lng,Hotel Name
475,oranjestad,AW,12.52,-70.03,Tamarijn Aruba All Inclusive Resort
476,belmonte,PT,40.36,-7.35,Quinta da Ribeira
477,bundaberg,AU,-24.87,152.35,Young Australian Hotel & Function Centre
478,samarinda,ID,-0.5,117.14,Swiss-Belhotel Borneo Samarinda
479,zhezkazgan,KZ,47.8,67.71,Hotel Zumrat
480,abonnema,NG,4.71,6.79,
481,narok,KE,-1.09,35.87,Mara Frontier Hotel
482,muravlenko,RU,63.79,74.5,E-Hotel Muravlenko
483,necochea,AR,-38.55,-58.74,Hotel Ñikén Spa & Business Center
484,talcahuano,CL,-36.72,-73.12,Hotel MarSur
485,san-pedro,CI,4.75,-6.64,Hôtel Nahoui
486,bismarck,US,46.81,-100.78,Wingate by Wyndham Bismarck
487,pinotepa de don luis,MX,16.43,-97.98,
488,mizan teferi,ET,6.99,35.58,Kashinin Hotel Ethiopia
489,bonfim,BR,-20.33,-44.24,
490,oga,NG,8.18,5.65,Romka Holiday Inn
491,bouca,CF,6.51,18.28,
492,bolobo,CD,-2.17,16.23,
493,nuuk,GL,64.17,-51.74,Hotel Hans Egede
494,baylo,PH,7.85,126.06,
495,fuxin,CN,42.02,121.65,Jinjiang Inn Fuxin Sanyiba Park
496,chernaya kholunitsa,RU,58.85,51.72,
497,havelock,US,34.88,-76.9,Hampton Inn Havelock
498,traverse city,US,44.76,-85.62,Hotel Indigo Traverse City
499,champoton,MX,19.35,-90.72,Lua Hotel
500,mandalgovi,MN,45.76,106.27,Mandal Hotel
501,delemont,CH,47.36,7.34,Hotel ibis Delemont Delsberg
502,chauk,MM,20.89,94.82,Bo Khin Guest House
503,kambove,CD,-10.88,26.6,
504,tutoia,BR,-2.76,-42.27,Tutóia Pousada Jagatá
505,touros,BR,-5.2,-35.46,Pousada Amigos do Vento
506,babati,TZ,-4.21,35.75,ASMOREIN HOTEL
507,graaff-reinet,ZA,-32.25,24.53,Beau & I
508,noumea,NC,-22.28,166.46,Le Méridien Noumea Resort & Spa
509,pilot butte,CA,50.48,-104.42,Ramada by Wyndham Emerald Park/Regina East
510,atar,MR,20.52,-13.05,Odar kanawal
511,valenca do piaui,BR,-6.41,-41.75,Hotel Shimamoto
512,natchez,US,31.56,-91.4,Natchez Grand Hotel
513,denpasar,ID,-8.65,115.22,Quest Hotel San Denpasar
514,loikaw,MM,19.67,97.21,Keinnara Loikaw
515,madaoua,NE,14.07,5.96,
516,malindi,KE,-3.22,40.12,Sandies Tropical Village
517,along,IN,28.17,94.8,Hotel Mansons Plaza
518,bonito,BR,-21.13,-56.49,Zagaia Eco Resort
519,saint anthony,US,43.97,-111.68,Henry's Fork Inn
520,high prairie,CA,55.43,-116.48,Peavine Inn & Suites
521,high rock,BS,26.63,-78.28,Hideaway Bahamas Beach Club
522,raudeberg,NO,61.99,5.14,Ulvesund FYR
523,kununurra,AU,-15.77,128.74,Hotel Kununurra
524,mogadishu,SO,2.04,45.34,Dolphin Hotel
525,mecca,SA,21.43,39.83,Hotel Pullman Zamzam Makkah
526,viedma,AR,-40.81,-62.99,Hotel Austral Viedma
527,tomatlan,MX,19.93,-105.25,Hotel Misión San Miguel
528,lyuban,BY,52.8,28.0,
529,bonavista,CA,48.65,-53.11,Lancaster Inn
530,hirara,JP,24.8,125.28,HOTEL LOCUS
531,russell,AR,-33.01,-68.8,Club Tapiz Hotel & Restó
532,burns lake,CA,54.23,-125.76,Key-oh Lodge
533,hakkari,FI,61.34,23.75,Kärppälän Rustholli
534,marzuq,YE,14.4,46.47,
535,villaviciosa,ES,43.48,-5.43,Hotel Alavera
536,padang,ID,-0.92,100.36,Mercure Padang
537,matam,SN,15.66,-13.26,Hotel de Matam
538,la seyne-sur-mer,FR,43.1,5.88,"Grand Hotel des Sablettes Plage, Curio Collection by Hilton"
539,palu,ID,-0.9,119.87,Swiss-Belhotel Palu
540,talmenka,RU,53.82,83.56,Taverna U Dyadi Viti
541,tamworth,AU,-31.09,150.93,Tamworth Hotel
542,perth,GB,56.4,-3.43,Mercure Perth Hotel
543,yabrud,SY,33.97,36.66,
544,paraiso,MX,24.01,-104.61,Hampton Inn by Hilton Durango
545,veraval,FR,49.65,0.71,Autour du Puits
546,novyy urgal,RU,51.07,132.56,
547,tongren,CN,27.72,109.18,7Days Inn Tongren Railway Station
